name	contigs_db_path
GCF_001548115.1_Gm3709_assembly_1	GCF_001548115.1_Gm3709_assembly_1.0_genomic.db
GCF_001548375.1_ASM154837v1_genomic	GCF_001548375.1_ASM154837v1_genomic.db
GCF_001548395.1_ASM154839v1_genomic	GCF_001548395.1_ASM154839v1_genomic.db
GCF_001548435.1_ASM154843v1_genomic	GCF_001548435.1_ASM154843v1_genomic.db
GCF_001548455.1_ASM154845v1_genomic	GCF_001548455.1_ASM154845v1_genomic.db
GCF_001693255.1_ASM169325v1_genomic	GCF_001693255.1_ASM169325v1_genomic.db
GCF_001693275.1_ASM169327v1_genomic	GCF_001693275.1_ASM169327v1_genomic.db
GCF_001693295.1_ASM169329v1_genomic	GCF_001693295.1_ASM169329v1_genomic.db
GCF_001704955.1_ASM170495v1_genomic	GCF_001704955.1_ASM170495v1_genomic.db
GCF_001767235.1_ASM176723v1_genomic	GCF_001767235.1_ASM176723v1_genomic.db
GCF_001885215.1_ASM188521v1_genomic	GCF_001885215.1_ASM188521v1_genomic.db
GCF_002075285.3_ASM207528v3_genomic	GCF_002075285.3_ASM207528v3_genomic.db
GCF_002095975.1_ASM209597v1_genomic	GCF_002095975.1_ASM209597v1_genomic.db
GCF_002142475.1_ASM214247v1_genomic	GCF_002142475.1_ASM214247v1_genomic.db
GCF_002142495.1_ASM214249v1_genomic	GCF_002142495.1_ASM214249v1_genomic.db
GCF_002355455.1_ASM235545v1_genomic	GCF_002355455.1_ASM235545v1_genomic.db
GCF_002356215.1_ASM235621v1_genomic	GCF_002356215.1_ASM235621v1_genomic.db
GCF_002368175.1_ASM236817v1_genomic	GCF_002368175.1_ASM236817v1_genomic.db
GCF_002368255.1_ASM236825v1_genomic	GCF_002368255.1_ASM236825v1_genomic.db
GCF_002368355.1_ASM236835v1_genomic	GCF_002368355.1_ASM236835v1_genomic.db
GCF_002368375.1_ASM236837v1_genomic	GCF_002368375.1_ASM236837v1_genomic.db
GCF_002368395.1_ASM236839v1_genomic	GCF_002368395.1_ASM236839v1_genomic.db
GCF_002368455.1_ASM236845v1_genomic	GCF_002368455.1_ASM236845v1_genomic.db
GCF_002754935.1_ASM275493v1_genomic	GCF_002754935.1_ASM275493v1_genomic.db
GCF_002813575.1_ASM281357v1_genomic	GCF_002813575.1_ASM281357v1_genomic.db
GCF_002896875.1_ASM289687v1_genomic	GCF_002896875.1_ASM289687v1_genomic.db
GCF_002949735.1_ASM294973v1_genomic	GCF_002949735.1_ASM294973v1_genomic.db
GCF_002949795.1_ASM294979v1_genomic	GCF_002949795.1_ASM294979v1_genomic.db
GCF_003015225.1_ASM301522v1_genomic	GCF_003015225.1_ASM301522v1_genomic.db
GCF_003019735.1_ASM301973v1_genomic	GCF_003019735.1_ASM301973v1_genomic.db
GCF_003054475.1_ASM305447v1_genomic	GCF_003054475.1_ASM305447v1_genomic.db
GCF_003443655.1_ASM344365v1_genomic	GCF_003443655.1_ASM344365v1_genomic.db
GCF_003555505.1_ASM355550v2_genomic	GCF_003555505.1_ASM355550v2_genomic.db
GCF_003574135.1_ASM357413v1_genomic	GCF_003574135.1_ASM357413v1_genomic.db
GCF_003945305.1_ASM394530v1_genomic	GCF_003945305.1_ASM394530v1_genomic.db
GCF_003957805.1_ASM395780v1_genomic	GCF_003957805.1_ASM395780v1_genomic.db
GCF_003967015.1_ASM396701v1_genomic	GCF_003967015.1_ASM396701v1_genomic.db
GCF_003990665.1_ASM399066v2_genomic	GCF_003990665.1_ASM399066v2_genomic.db
GCF_004209775.1_ASM420977v1_genomic	GCF_004209775.1_ASM420977v1_genomic.db
GCF_007904085.1_ASM790408v1_genomic	GCF_007904085.1_ASM790408v1_genomic.db
GCF_008121535.1_ASM812153v1_genomic	GCF_008121535.1_ASM812153v1_genomic.db
GCF_008386235.1_ASM838623v1_genomic	GCF_008386235.1_ASM838623v1_genomic.db
GCF_008807075.1_ASM880707v1_genomic	GCF_008807075.1_ASM880707v1_genomic.db
GCF_009372195.1_ASM937219v1_genomic	GCF_009372195.1_ASM937219v1_genomic.db
GCF_009498015.1_ASM949801v1_genomic	GCF_009498015.1_ASM949801v1_genomic.db
GCF_009792235.1_ASM979223v1_genomic	GCF_009792235.1_ASM979223v1_genomic.db
GCF_009856605.1_ASM985660v1_genomic	GCF_009856605.1_ASM985660v1_genomic.db
GCF_009873495.1_ASM987349v1_genomic	GCF_009873495.1_ASM987349v1_genomic.db
GCF_010196425.1_ASM1019642v1_genomic	GCF_010196425.1_ASM1019642v1_genomic.db
GCF_011769525.1_ASM1176952v1_genomic	GCF_011769525.1_ASM1176952v1_genomic.db
GCF_012295525.1_ASM1229552v1_genomic	GCF_012295525.1_ASM1229552v1_genomic.db
GCF_012516395.1_ASM1251639v1_genomic	GCF_012516395.1_ASM1251639v1_genomic.db
GCF_013177315.1_ASM1317731v1_genomic	GCF_013177315.1_ASM1317731v1_genomic.db
GCF_013343235.1_ASM1334323v1_genomic	GCF_013343235.1_ASM1334323v1_genomic.db
GCF_013393905.1_ASM1339390v1_genomic	GCF_013393905.1_ASM1339390v1_genomic.db
GCF_013393925.1_ASM1339392v1_genomic	GCF_013393925.1_ASM1339392v1_genomic.db
GCF_013393945.1_ASM1339394v1_genomic	GCF_013393945.1_ASM1339394v1_genomic.db
GCF_014023275.1_ASM1402327v1_genomic	GCF_014023275.1_ASM1402327v1_genomic.db
GCF_014217875.1_ASM1421787v1_genomic	GCF_014217875.1_ASM1421787v1_genomic.db
GCF_014279535.1_ASM1427953v1_genomic	GCF_014279535.1_ASM1427953v1_genomic.db
GCF_014279555.1_ASM1427955v1_genomic	GCF_014279555.1_ASM1427955v1_genomic.db
GCF_014279595.1_ASM1427959v1_genomic	GCF_014279595.1_ASM1427959v1_genomic.db
GCF_014279615.1_ASM1427961v1_genomic	GCF_014279615.1_ASM1427961v1_genomic.db
GCF_014279635.1_ASM1427963v1_genomic	GCF_014279635.1_ASM1427963v1_genomic.db
GCF_014279655.1_ASM1427965v1_genomic	GCF_014279655.1_ASM1427965v1_genomic.db
GCF_014279755.1_ASM1427975v1_genomic	GCF_014279755.1_ASM1427975v1_genomic.db
GCF_014279775.1_ASM1427977v1_genomic	GCF_014279775.1_ASM1427977v1_genomic.db
GCF_014279795.1_ASM1427979v1_genomic	GCF_014279795.1_ASM1427979v1_genomic.db
GCF_014279815.1_ASM1427981v1_genomic	GCF_014279815.1_ASM1427981v1_genomic.db
GCF_014279835.1_ASM1427983v1_genomic	GCF_014279835.1_ASM1427983v1_genomic.db
GCF_014279855.1_ASM1427985v1_genomic	GCF_014279855.1_ASM1427985v1_genomic.db
GCF_014279875.1_ASM1427987v1_genomic	GCF_014279875.1_ASM1427987v1_genomic.db
GCF_014279895.1_ASM1427989v1_genomic	GCF_014279895.1_ASM1427989v1_genomic.db
GCF_014279955.1_ASM1427995v1_genomic	GCF_014279955.1_ASM1427995v1_genomic.db
GCF_014279975.1_ASM1427997v1_genomic	GCF_014279975.1_ASM1427997v1_genomic.db
GCF_014280015.1_ASM1428001v1_genomic	GCF_014280015.1_ASM1428001v1_genomic.db
GCF_014280035.1_ASM1428003v1_genomic	GCF_014280035.1_ASM1428003v1_genomic.db
GCF_014280055.1_ASM1428005v1_genomic	GCF_014280055.1_ASM1428005v1_genomic.db
GCF_014280075.1_ASM1428007v1_genomic	GCF_014280075.1_ASM1428007v1_genomic.db
GCF_014280095.1_ASM1428009v1_genomic	GCF_014280095.1_ASM1428009v1_genomic.db
GCF_014280115.1_ASM1428011v1_genomic	GCF_014280115.1_ASM1428011v1_genomic.db
GCF_014280175.1_ASM1428017v1_genomic	GCF_014280175.1_ASM1428017v1_genomic.db
GCF_014280195.1_ASM1428019v1_genomic	GCF_014280195.1_ASM1428019v1_genomic.db
GCF_014280215.1_ASM1428021v1_genomic	GCF_014280215.1_ASM1428021v1_genomic.db
GCF_014280235.1_ASM1428023v1_genomic	GCF_014280235.1_ASM1428023v1_genomic.db
GCF_014304795.1_ASM1430479v1_genomic	GCF_014304795.1_ASM1430479v1_genomic.db
GCF_014304815.1_ASM1430481v1_genomic	GCF_014304815.1_ASM1430481v1_genomic.db
GCF_014489415.1_ASM1448941v1_genomic	GCF_014489415.1_ASM1448941v1_genomic.db
GCF_015840335.1_ASM1584033v1_genomic	GCF_015840335.1_ASM1584033v1_genomic.db
GCF_015840525.1_ASM1584052v1_genomic	GCF_015840525.1_ASM1584052v1_genomic.db
GCF_015840715.1_ASM1584071v1_genomic	GCF_015840715.1_ASM1584071v1_genomic.db
GCF_015840915.1_ASM1584091v1_genomic	GCF_015840915.1_ASM1584091v1_genomic.db
GCF_015841355.1_ASM1584135v1_genomic	GCF_015841355.1_ASM1584135v1_genomic.db
GCF_016403105.1_ASM1640310v1_genomic	GCF_016403105.1_ASM1640310v1_genomic.db
GCF_016446395.1_ASM1644639v1_genomic	GCF_016446395.1_ASM1644639v1_genomic.db
GCF_016745315.1_ASM1674531v1_genomic	GCF_016745315.1_ASM1674531v1_genomic.db
GCF_017086385.1_ASM1708638v1_genomic	GCF_017086385.1_ASM1708638v1_genomic.db
GCF_017164015.1_ASM1716401v1_genomic	GCF_017164015.1_ASM1716401v1_genomic.db
GCF_018139025.1_ASM1813902v1_genomic	GCF_018139025.1_ASM1813902v1_genomic.db
GCF_018282115.1_ASM1828211v1_genomic	GCF_018282115.1_ASM1828211v1_genomic.db
GCF_018336915.1_ASM1833691v1_genomic	GCF_018336915.1_ASM1833691v1_genomic.db
GCF_018389385.1_ASM1838938v1_genomic	GCF_018389385.1_ASM1838938v1_genomic.db
GCF_018845095.1_ASM1884509v1_genomic	GCF_018845095.1_ASM1884509v1_genomic.db
GCF_019056575.1_ASM1905657v1_genomic	GCF_019056575.1_ASM1905657v1_genomic.db
GCF_900088535.1_ASM90008853v1_genomic	GCF_900088535.1_ASM90008853v1_genomic.db
